run N,R134a,R143a,R152A,R227EA,R236EA,R236FA,R245ca,R245fa,R365MFC,R1233zd(E),R1234yf,R1234ze(E),R1234ze(Z),R123,R124,R141b,R142b,R22,n-Butane,IsoButane,n-Pentane,IsoPentane,Cyclopentane,CycloHexane,n-Hexane,n-Heptane,n-Octane,Benzene,Toluene,Acetone,Ethanol,Methanol,Novec649,eta
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25398958939799476,0.0,0.0,0.0,0.37214563164205094,0.0,0.12383230811652679,0.0,0.2500324708434276,0.0,0.2430336819464237
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4165943258254187,0.0,0.0,0.0,0.2821801632943031,0.0,0.13705676811360268,0.0,0.16416874276667542,0.0,0.24289949555656815
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4028717384893588,0.0,0.0,0.0,0.30703727711672607,0.0,0.1325419695502886,0.0,0.15754901484362654,0.0,0.2428993875713094
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851579170391764,0.0,0.0,0.0,0.4178134757641121,0.0,0.13913981311235504,0.0,0.15788879408435652,0.0,0.24303364922639806
